Actual,Predicted
448066037.1656361,448067330.3440941
333130639.3021728,333142047.594609
60873504.16405056,60887367.68398703
273503143.3672213,273501381.4263031
233556247.86968973,233556118.7048191
114117554.22805868,114183331.02425052
46930416.03403768,48189056.35092797
158384017.1672567,158389959.3106698
407954564.8294374,407948273.02990633
99642452.52549,99475726.07243468
216589618.7461084,216588381.2808687
312127398.56463426,312168454.9835226
47531923.74984285,47521740.1892993
147754591.1445426,147805780.59270054
291228291.3837678,291360186.6602889
362155448.0734828,362134858.16714036
92139901.84193856,92172767.19166347
105001765.18459909,104996134.77583192
290681007.18187296,290558851.730741
141596170.31395414,141492205.21031228
182785870.40390533,182793297.59402847
222853425.20684263,222854022.96047738
413008573.1774535,413000150.85354644
139304590.99917552,139309580.6789981
122771540.28246944,122791685.5513241
254893092.63035324,254876677.69302472
347399903.2698454,348796278.371723
130415234.5963537,130382497.16598633
260461914.6585847,260473158.6788675
422157189.73567945,422121789.0452578
96933980.73675774,96939192.09912847
102530407.7707636,102588340.24121323
139705189.5805673,139694597.41732758
433236405.24209785,433238038.28637296
50121787.018231,50258150.711852334
315320256.521309,315304034.34352463
170850830.642283,170858279.90156308
223160047.40298697,223159666.24142334
144490873.0802697,144490778.20272702
53734042.0091136,53726104.89781971
48097688.99516681,48096427.60911725
450527734.16259867,450533111.6161402
139792039.30716074,139776198.04666656
451835428.8048738,451845356.93139386
283840322.32525086,283833575.7048709
420448045.7866004,420413119.3672665
81082194.96148944,81037680.94188264
367297603.65530473,367299823.1944265
352524402.0051115,352695062.9828057
312299578.1455058,312303098.18181014
135181111.160505,135179918.65541697
179118006.31817046,179122065.33666906
312387336.43234444,312363740.2732528
398379844.3458149,398502546.31292814
429068051.790707,428976854.93571436
334409791.05649066,334228301.67758393
421240897.0917533,421238061.1598528
394368011.4230519,394369612.8516369
222416468.41125265,222413473.32237336
1016226871.4647436,1015784158.3006427
314207654.99183095,314206761.16665936
239909659.0960296,239908029.62503594
163338795.17090675,163330160.88126075
295532061.18001306,295583122.4260869
315010273.8914747,315008840.5955134
405683819.15396833,405684166.27503806
356380220.7281795,356421694.4068614
461033075.8825823,461059021.912308
717024768.9536626,711062660.5137548
131377669.10796684,131387153.20251894
212032376.7213639,212034967.6199419
126180941.1409562,105890419.59352583
374428692.4568434,374429384.14530975
329358308.9607942,329347118.1468729
446633707.1951322,446581062.57511574
193192991.48286676,193198457.57518986
384621126.9041619,384633406.6805381
695333961.8282837,695253298.9801182
333891665.5002845,333820250.299039
724455496.07697,724003657.7594478
867791435.8712397,866635753.7815574
1787511643.6730342,1789976771.4234943
505833775.4314309,505813798.93662524
322964692.2680524,322969210.525162
564668450.7383975,564101268.8237481
458589647.9378036,458615522.3111022
152063448.1618566,152031283.11985824
60571371.54411032,60707979.58612945
284214205.0461343,282402882.9967486
371402182.9198333,371404887.7036667
417076871.2777868,417023630.7907699
421542914.0950839,421617691.1042322
401637678.8883441,401638788.48046494
325210457.3415966,325231553.0233434
392303014.5121127,392323423.87482244
525903471.2544028,525952580.60515076
61703186.78877212,61705708.041469485
243277916.32190368,243680939.04171222
301785988.0076196,301792804.9229138
132012020.55762514,132008060.75176415
424278912.0725699,424272498.6632385
298350838.3695291,298368546.6720568
450848050.54010063,450857882.8751845
148004911.96171185,148016581.49691445
694743317.4439611,694984406.5043373
188063017.0618519,188117729.0325099
418334997.8573893,418334682.1969876
349140314.44550866,349127899.20502627
423508172.5553349,423252882.8571055
312595220.753902,312442352.79150885
432613793.3753051,432539214.590438
281802636.7533426,281807505.4880881
108976842.74894668,109067930.6889731
40541717.03334662,40538113.523223646
19788629.34453297,19591374.80258987
180981384.6787114,180982861.35202077
260146706.4626225,260086256.743167
359037615.09503907,359035899.4106402
283549214.90271324,283711116.4041247
208329599.03861272,208330782.5468039
309139554.0891553,309240564.7638024
508772944.7744088,508759409.3378726
153511584.65320957,153852392.3925831
325971552.62733704,325968501.4077185
278933198.983025,279117430.7774411
352330678.646153,352334249.053466
406108461.9502014,406111831.54715055
279401487.8483761,279342101.1180074
290804756.2307575,290801568.130466
1130214289.9398906,1130930214.8051422
398749890.49398834,398658771.7660418
509093909.9643726,509152098.8617408
160244989.7993547,160251102.2520174
382217298.6012635,382207559.0792134
61985703.48656935,62010529.60591843
554262849.2242116,553529489.0833642
554641105.5539361,554160581.4878304
54278600.78624758,54277606.64409213
188079762.0505803,188098505.23738033
200328522.6536448,200309196.26477882
405117654.78583056,405061766.1928987
447984558.9668289,447843095.493999
1080564077.3885074,1080967269.9064996
129608232.79184666,129753718.646407
386213543.4613526,386217460.90507543
987733774.4818312,988937884.0638624
562091898.900313,561927371.5341618
1208135826.8352745,1206208458.5836654
35412765.81820289,35491019.95777891
315604095.4612863,315595466.674476
197827677.26481652,197825447.65611282
358070258.4606057,358079169.8356168
449528556.2948833,449517653.0832242
335854082.5149426,335870674.2444506
1405235793.293437,1413228155.1855414
105021502.7510134,105017010.71322918
128560001.87935174,128555724.96433961
138130578.65785477,138154637.86322424
686384798.3934813,686337178.6089438
675945978.8539221,675838854.8809903
211229047.2352258,211291576.84208348
157899892.266109,157574481.17821896
105050990.52097826,105073502.24187577
492101868.1548867,492830193.18865776
277628025.0790484,277641255.666008
156668748.51853734,156656864.03179914
143133957.1913048,143135383.56175154
63860369.27666898,58901513.11399239
371691303.0551189,371698992.3374892
282179345.80985016,282173491.74106586
86225822.29756702,86226446.457611
433154281.64369065,433152463.6892811
421223636.1021664,421160844.1139284
127857155.4875851,127696575.86379209
286150116.2380657,286144079.26146793
715312686.9794369,716169957.066351
309247923.63287646,309323731.4093802
381123934.5967331,381123710.84528697
940646204.2824836,941240256.3280535
132882459.58471178,132877131.15410963
239209534.65175703,239260518.83957428
333630931.0549177,333538821.6656189
145901660.91981903,146004522.84961697
706078184.2541927,706922247.6651884
86305984.1555764,86298711.69238548
310139520.15967214,310132656.7586982
638110536.0754166,638190693.5533048
100437296.5696305,100433525.69469257
180470864.5007208,180469816.4217544
441008085.46070856,440848748.80310977
745095573.4354928,744960789.2661161
831459988.9011644,831197552.8134015
385936235.8983105,385938637.5509376
564301569.7772584,564086423.6371379
438077715.39843047,438071011.2660323
412415399.0670278,412412343.91515976
61569016.612770975,61565293.60206819
307358187.6095848,307357296.00371915
275691722.997313,275683901.7449253
112535139.29844968,112530552.57226278
420522515.1571325,420507790.3224984
349369775.65225095,349373141.00373477
104842847.20936212,104839025.34222533
442181908.9776587,442188225.8847466
424887227.3022462,424993808.1939144
170712569.43933147,167571181.25069514
250654928.2178216,250657713.24141276
454754282.3088732,453722597.49293435
225785449.60207543,225671916.50383782
282380866.7688384,282380903.41726124
314760181.10734147,314770330.8419515
131876050.43706527,131883816.89397456
331013525.4128009,331011298.3212135
57835919.67398541,57949678.42405909
659765739.0758252,659857544.4270347
168124416.53367963,168120619.6183182
93622957.95862052,93510984.131799
154599273.57334468,154601511.18861195
408202024.4046922,407920117.9933569
290840247.4393876,290958472.8715584
401445511.113541,401614468.6452862
386565732.6518295,386565932.3177208
223747173.75215203,223749538.3951501
368568670.4818882,368570822.86726433
508856106.47881305,508870966.4607801
167693478.618495,167672687.3236989
68792229.25663796,68803103.23511441
258946083.55385196,258936746.1178664
773070044.6053002,773094026.0447818
412207360.1136293,412213340.1522612
178714677.21108764,179293828.76831046
184253148.96579412,184252817.54604077
730291802.795067,730252776.4391
359014121.3825866,359017683.0870233
113173354.81484067,113227828.79042839
446112224.1523899,446200475.84774756
448700540.2956093,448874608.3439197
87899620.3428917,87899956.96700945
379523232.37179327,379674685.10068583
320954293.33618623,320790765.12888205
120060076.9703546,120068625.70501573
170787139.07128412,170767036.11033043
106229336.25101183,106257880.63312267
178629969.0208169,178674895.9158967
766317367.7549512,766309623.309953
434483739.677983,434553441.7410671
63861329.72840561,64204315.48607965
130931756.81506084,130939699.6443089
55591088.862104304,55581802.4419431
42319029.07051432,42211146.852045394
255623903.3799772,254530885.16565236
424275639.1816405,424261806.35321313
178767552.3346908,178837681.46218234
38933489.55016024,38901446.968947336
247442078.57388115,247496819.55262834
399585630.1074103,399984353.42220443
372775019.2359712,372744918.01368
514440812.9490024,514446631.9998785
392772408.35878354,392804620.8244896
263297825.0856425,263301193.18210873
1173288954.2124715,1175066107.1350317
142840360.724972,142845421.57556736
166334283.14662102,165998378.60208616
139863912.90067115,139937614.42155555
492514730.0569472,492612528.1096655
382921133.5192319,383053512.42946017
232524733.7790652,232512454.193994
201787446.3546377,201776599.00884175
1750683892.4341123,1745680119.3202817
1729595581.9173083,1738041478.5222156
86696484.32468612,86293751.6828244
132026038.465983,132009157.68113524
304859830.64377016,304859902.2313836
293048611.2154581,293042417.69898057
318215861.5278892,318226713.6402899
378862227.3006476,378862116.45033944
145712692.77422014,145489718.86098123
16693575.984309448,16755474.538982593
236170046.55371067,236171959.81595725
279858795.25043875,279862148.1739965
378958195.0619295,379278449.3555483
399289113.133884,399356156.9504634
245672102.27909496,245663087.26433593
1251456464.2651303,1251723781.881554
396628579.8799383,396625302.71607894
255070418.15533888,255041449.90120125
279700837.4028771,279921129.8381634
69537210.28099628,69585453.4200019
443260244.0251131,443252007.883937
89098909.34849061,89097539.09637709
278535622.80029285,278541333.6194737
226930336.75392985,226913921.4646856
330338115.3444735,330363587.49846953
219413454.8109992,219416533.30852845
355850154.6476587,355850076.1617731
734851388.8820746,734771639.4507854
141562869.8662409,141578452.4023091
97915939.29032676,97957495.91518109
111614125.20440842,111609046.51592025
72186771.65943033,72194918.62630594
299997725.40246606,300010134.37170196
437239387.123559,437216642.3019928
244489906.98514056,244492644.22537383
103733988.13632096,103722184.70112291
150963520.05238295,150969615.8963244
187314770.94538924,187412198.34141415
941897008.480343,941911840.0961157
221233589.98556644,221283181.542694
882652948.2367673,882754604.1003429
392960707.0498489,392956638.9397348
1036319222.693841,1036461555.0077882
134516759.86180055,134519377.37060672
168491056.0579481,168506411.3237237
220778927.36616248,220823858.69588143
393443767.05174494,393442700.6225435
377747739.62407273,377932624.9308629
575478140.0887929,575552767.3735526
310100469.6733047,310113330.0073457
587672128.5705599,587485808.6200726
270175215.271563,270184073.7824186
253595289.68023315,253602958.01845372
585935054.9240226,585928513.8729968
304800961.1861838,304771011.8313605
156454265.72832358,156455997.1668957
481236822.03068745,481735226.52324384
596653278.0393373,596774311.9496803
1268152909.0892708,1270534723.0804276
402456419.8945161,402465583.6190369
237506786.6387733,237508524.70093212
576374781.3663601,576170520.5348256
85140744.03504065,85136262.41329132
394068821.82364887,393887146.58138
103712811.75038414,103714046.88956574
397512280.1631573,397509532.73853815
190827985.98726875,190821920.9100678
140225716.9715247,140220335.37896875
847764612.4598885,847934115.4470091
436356185.121831,436344778.6963351
53982341.38439678,54060174.05311391
357260654.0368076,357104703.51364726
289048815.8091966,288948925.61885285
1268922995.6737697,1271041390.2732046
477562085.0713316,477621029.78552216
425936435.90058416,425936784.87939173
94137968.37990898,94155723.64622948
586902924.6381549,587091890.3338475
200723570.6199578,200739233.99907196
215277675.2431529,215097367.27040806
219451442.83803764,219448642.09832692
128657663.49682832,128675082.23790736
322399465.1565308,322373379.7913432
136863017.72320133,136754268.46579418
320322378.1478766,320327248.73329014
296342278.27938515,296305282.8935633
609845626.1006984,609837010.2789445
22744422.334045697,22743715.08587575
778165601.3091407,778118978.232163
150367014.0902339,150342719.90267307
225745255.68926716,225795948.07311562
1895869912.835148,1899377409.8976493
416221484.2676509,415239204.177494
250393367.31104812,250420532.82123923
681931201.2461504,681517801.7768443
161880095.86787912,161876165.6669578
166975138.0263303,166979059.4205617
291114470.6499604,291114270.65837336
54841143.98227563,55044255.218673974
221766571.2468576,221704936.99270496
347620047.3368919,347523846.6979528
35540482.448918335,35518904.85746518
253777168.60505885,253468236.55227727
333897626.01199114,333906857.6816872
305233463.93501353,305224218.8635518
1504000188.6522627,1506598452.795626
303578450.6436574,303572132.437796
365470375.08748144,365441186.3511906
381637512.9674264,381701894.86208916
524844829.2788177,524885555.16375715
372660573.4865827,372652553.2898909
612699424.991584,613004558.5192913
589528223.8389179,589476045.3751923
562165456.2950761,562330965.0423846
392075910.5113368,392088165.7708194
311868478.37732154,311868149.6413338
52702747.534054205,52610675.052917644
268878936.1818156,268870290.67494804
305143329.6815714,305191720.3828654
115651349.73481084,115649917.45696217
294823646.3534956,294909446.6933109
62079850.30754058,62083616.93146127
1004592903.4345398,1004989280.2441972
777755006.4342762,777647391.3384923
75263875.06114475,75054666.06532039
350016231.2189854,349970373.0254663
49051374.328573465,49068329.35114731
51662167.38090333,51665689.6481348
168457654.35895824,168459915.3799894
287631916.2750227,287698369.2907286
327304369.679995,327325063.37712395
316194036.3203662,316172454.694539
612708784.9029576,612890869.8190078
1109929685.892665,1110335643.871396
255490083.61635384,255491101.39010337
411346613.94755936,411175271.88849443
224197392.22221303,224199627.7551664
